name,class,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins
100% Bran,N,70,4,1,130,10,5,6,280,25
100% Natural Bran,C,120,3,5,15,2,8,8,135,0
All-Bran,N,70,4,1,260,9,7,5,320,25
All-Bran with Extra Fiber,N,50,4,0,140,14,8,0,330,25
Almond Delight,C,110,2,2,200,1,14,8,-1,25
Apple Cinnamon Cheerios,C,110,2,2,180,1.5,10.5,10,70,25
Apple Jacks,C,110,2,0,125,1,11,14,30,25
Basic 4,C,130,3,2,210,2,18,8,100,25
Bran Chex,C,90,2,1,200,4,15,6,125,25
Bran Flakes,C,90,3,0,210,5,13,5,190,25
Cap'n'Crunch,C,120,1,2,220,0,12,12,35,25
Cheerios,C,110,6,2,290,2,17,1,105,25
Cinnamon Toast Crunch,C,120,1,3,210,0,13,9,45,25
Clusters,C,110,3,2,140,2,13,7,105,25
Cocoa Puffs,C,110,1,1,180,0,12,13,55,25
Corn Chex,C,110,2,0,280,0,22,3,25,25
Corn Flakes,C,100,2,0,290,1,21,2,35,25
Corn Pops,C,110,1,0,90,1,13,12,20,25
Count Chocula,C,110,1,1,180,0,12,13,65,25
Cracklin Oat Bran,C,110,3,3,140,4,10,7,160,25
Cream of Wheat (Quick),N,100,3,0,80,1,21,0,-1,0
Crispix,C,110,2,0,220,1,21,3,30,25
Crispy Wheat & Raisins,C,100,2,1,140,2,11,10,120,25
Double Chex,C,100,2,0,190,1,18,5,80,25
Froot Loops,C,110,2,1,125,1,11,13,30,25
Frosted Flakes,C,110,1,0,200,1,14,11,25,25
Frosted Mini-Wheats,C,100,3,0,0,3,14,7,100,25
Fruit & Fibre Dates; Walnuts; and Oats,C,120,3,2,160,5,12,10,200,25
Fruitful Bran,C,120,3,0,240,5,14,12,190,25
Fruity Pebbles,C,110,1,1,135,0,13,12,25,25
Golden Crisp,C,100,2,0,45,0,11,15,40,25
Golden Grahams,C,110,1,1,280,0,15,9,45,25
Grape Nuts Flakes,C,100,3,1,140,3,15,5,85,25
Grape-Nuts,C,110,3,0,170,3,17,3,90,25
Great Grains Pecan,C,120,3,3,75,3,13,4,100,25
Honey Graham Ohs,C,120,1,2,220,1,12,11,45,25
Honey Nut Cheerios,C,110,3,1,250,1.5,11.5,10,90,25
Honey-comb,C,110,1,0,180,0,14,11,35,25
Just Right Crunchy  Nuggets,C,110,2,1,170,1,17,6,60,100
Just Right Fruit & Nut,C,140,3,1,170,2,20,9,95,100
Kix,C,110,2,1,260,0,21,3,40,25
Life,C,100,4,2,150,2,12,6,95,25
Lucky Charms,C,110,2,1,180,0,12,12,55,25
Maypo,C,100,4,1,0,0,16,3,95,25
Muesli Raisins; Dates; & Almonds,C,150,4,3,95,3,16,11,170,25
Muesli Raisins; Peaches; & Pecans,C,150,4,3,150,3,16,11,170,25
Mueslix Crispy Blend,C,160,3,2,150,3,17,13,160,25
Multi-Grain Cheerios,C,100,2,1,220,2,15,6,90,25
Nut&Honey Crunch,C,120,2,1,190,0,15,9,40,25
Nutri-Grain Almond-Raisin,C,140,3,2,220,3,21,7,130,25
Nutri-grain Wheat,C,90,3,0,170,3,18,2,90,25
Oatmeal Raisin Crisp,C,130,3,2,170,1.5,13.5,10,120,25
Post Nat. Raisin Bran,C,120,3,1,200,6,11,14,260,25
Product 19,C,100,3,0,320,1,20,3,45,100
Puffed Rice,C,50,1,0,0,0,13,0,15,0
Puffed Wheat,C,50,2,0,0,1,10,0,50,0
Quaker Oat Squares,C,100,4,1,135,2,14,6,110,25
Quaker Oatmeal,C,100,5,2,0,2.7,-1,-1,110,0
Raisin Bran,C,120,3,1,210,5,14,12,240,25
Raisin Nut Bran,C,100,3,2,140,2.5,10.5,8,140,25
Raisin Squares,C,90,2,0,0,2,15,6,110,25
Rice Chex,C,110,1,0,240,0,23,2,30,25
Rice Krispies,C,110,2,0,290,0,22,3,35,25
Shredded Wheat,N,80,2,0,0,3,16,0,95,0
Shredded Wheat 'n'Bran,N,90,3,0,0,4,19,0,140,0
Shredded Wheat spoon size,N,90,3,0,0,3,20,0,120,0
Smacks,C,110,2,1,70,1,9,15,40,25
Special K,C,110,6,0,230,1,16,3,55,25
Strawberry Fruit Wheats,N,90,2,0,15,3,15,5,90,25
Total Corn Flakes,C,110,2,1,200,0,21,3,35,100
Total Raisin Bran,C,140,3,1,190,4,15,14,230,100
Total Whole Grain,C,100,3,1,200,3,16,3,110,100
Triples,C,110,2,1,250,0,21,3,60,25
Trix,C,110,1,1,140,0,13,12,25,25
Wheat Chex,C,100,3,1,230,3,17,3,115,25
Wheaties,C,100,3,1,200,3,17,3,110,25
Wheaties Honey Gold,C,110,2,1,200,1,16,8,60,25
