Day,Transaction,Item
Sun,1,Bread
Sun,2,Scandinavian
Sun,3,Hot chocolate
Sun,3,Jam
Sun,3,Cookies
Sun,4,Muffin
Sun,5,Coffee
Sun,5,Pastry
Sun,5,Bread
Sun,6,Medialuna
Sun,6,Pastry
Sun,6,Muffin
Sun,7,Medialuna
Sun,7,Pastry
Sun,7,Coffee
Sun,7,Tea
Sun,8,Pastry
Sun,8,Bread
Sun,9,Bread
Sun,9,Muffin
Sun,10,Scandinavian
Sun,10,Medialuna
Sun,11,Bread
Sun,11,Medialuna
Sun,11,NONE
Sun,12,Jam
Sun,12,Coffee
Sun,12,Tartine
Sun,12,Pastry
Sun,12,Tea
Sun,13,Basket
Sun,13,Bread
Sun,13,Coffee
Sun,14,Bread
Sun,14,Medialuna
Sun,14,Pastry
Sun,15,NONE
Sun,15,Mineral water
Sun,15,Scandinavian
Sun,16,Bread
Sun,16,Medialuna
Sun,16,Coffee
Sun,17,Hot chocolate
Sun,18,Farm House
Sun,19,Farm House
Sun,19,Bread
Sun,20,Bread
Sun,20,Medialuna
Sun,21,Coffee
Sun,21,Medialuna
Sun,21,Bread
Sun,22,Jam
Sun,23,Scandinavian
Sun,23,Muffin
Sun,24,Bread
Sun,25,Scandinavian
Sun,26,Fudge
Sun,27,Scandinavian
Sun,28,Coffee
Sun,28,Bread
Sun,29,Bread
Sun,29,Jam
Sun,29,NONE
Sun,30,Bread
Sun,31,Basket
Sun,32,Scandinavian
Sun,32,Muffin
Sun,33,Coffee
Sun,34,Coffee
Sun,34,Muffin
Sun,35,Muffin
Sun,35,Scandinavian
Sun,36,Tea
Sun,36,Bread
Sun,37,Coffee
Sun,37,Bread
Sun,37,NONE
Sun,38,Bread
Sun,38,Tea
Sun,39,Scandinavian
Sun,40,Juice
Sun,40,NONE
Sun,40,Tartine
Sun,40,Coffee
Sun,40,Muffin
Sun,41,Scandinavian
Sun,42,Bread
Sun,42,Tea
Sun,43,Scandinavian
Sun,43,Fudge
Sun,44,Coffee
Sun,44,Medialuna
Sun,45,Coffee
Sun,45,Hot chocolate
Sun,45,Medialuna
Sun,46,Coffee
Sun,47,Ella's Kitchen Pouches
Sun,47,Juice
Sun,47,Bread
Sun,47,Muffin
Sun,47,Jam
Sun,48,Coffee
Sun,49,Coffee
Sun,49,Medialuna
Sun,50,Bread
Sun,50,Victorian Sponge
Sun,51,Bread
Sun,52,Scandinavian
Sun,54,Bread
Sun,55,Frittata
Sun,55,Coffee
Sun,55,Tea
Sun,55,Hearty & Seasonal
Sun,56,Coffee
Sun,56,Frittata
Sun,57,Scandinavian
Sun,58,Victorian Sponge
Sun,58,Hot chocolate
Sun,58,Tea
Sun,58,Soup
Sun,59,Tea
Sun,59,NONE
Sun,60,Cookies
Sun,60,Coffee
Sun,60,Juice
Sun,61,Coffee
Sun,62,Pick and Mix Bowls
Sun,62,Hearty & Seasonal
Sun,62,Coffee
Sun,62,Smoothies
Sun,63,Coffee
Sun,64,Cake
Sun,65,NONE
Sun,65,Tartine
Sun,65,Mighty Protein
Sun,65,Tea
Sun,65,Coffee
Sun,66,Hearty & Seasonal
Sun,66,Frittata
Sun,66,Mineral water
Sun,67,Hearty & Seasonal
Sun,67,NONE
Sun,67,Mineral water
Sun,67,Muffin
Sun,68,Frittata
Sun,68,Coffee
Sun,68,Tea
Sun,68,Scandinavian
Sun,68,Chicken sand
Sun,69,Bread
Sun,69,Tea
Sun,69,Victorian Sponge
Sun,70,Fudge
Sun,71,Muffin
Sun,72,Coffee
Sun,72,Bread
Sun,73,Bread
Sun,74,Coffee
Sun,74,Bread
Sun,75,NONE
Sun,75,Jam
Sun,75,Frittata
Sun,76,Coffee
Sun,77,Scandinavian
Sun,78,Fudge
Sun,79,Fudge
Sun,79,Tea
Sun,79,Coffee
Sun,79,Muffin
Sun,80,Frittata
Sun,80,Bread
Sun,80,Coffee
Mon,81,Coffee
Mon,81,Cake
Mon,82,Tartine
Mon,82,NONE
Mon,82,Bread
Mon,83,Coffee
Mon,83,Bread
Mon,84,Bread
Mon,85,Coffee
Mon,85,Pastry
Mon,85,Medialuna
Mon,86,Juice
Mon,87,Bread
Mon,88,Coffee
Mon,88,Jam
Mon,89,Bread
Mon,90,Bread
Mon,90,Coffee
Mon,91,Tea
Mon,91,NONE
Mon,92,Coffee
Mon,93,Bread
Mon,93,Coke
Mon,94,Coffee
Mon,95,Tea
Mon,95,Pastry
Mon,95,Farm House
Mon,96,Pastry
Mon,96,Coffee
Mon,96,Juice
Mon,97,Coffee
Mon,97,Pastry
Mon,97,Juice
Mon,98,Farm House
Mon,99,Pastry
Mon,99,Coffee
Mon,99,Bread
Mon,100,Bread
Mon,101,Coffee
Mon,101,Pastry
Mon,102,Farm House
Mon,103,NONE
Mon,103,Bread
Mon,104,Coffee
Mon,104,Medialuna
Mon,104,Muffin
Mon,105,Coffee
Mon,105,Tea
Mon,105,NONE
Mon,105,Cake
Mon,106,Coffee
Mon,106,Pastry
Mon,107,Coffee
Mon,107,Tea
Mon,108,Farm House
Mon,108,Muffin
Mon,109,Bread
Mon,109,Muffin
Mon,109,Pastry
Mon,110,Pastry
Mon,111,Coffee
Mon,112,Coffee
Mon,113,Coffee
Mon,113,Cake
Mon,114,Farm House
Mon,115,Bread
Mon,116,Coffee
Mon,117,Cookies
Mon,117,Cake
Mon,117,Coffee
Mon,117,My-5 Fruit Shoot
Mon,118,Cookies
Mon,118,Tea
Mon,118,Pastry
Mon,119,Coffee
Mon,119,Muffin
Mon,120,Farm House
Mon,121,Coffee
Mon,121,Bread
Mon,122,Cookies
Mon,123,Jam
Mon,123,NONE
Mon,123,Coffee
Mon,123,Juice
Mon,124,Coffee
Mon,124,Soup
Mon,125,Tea
Mon,126,Coffee
Mon,126,Jam
Mon,127,Farm House
Mon,128,NONE
Mon,128,Tartine
Mon,128,Coffee
Mon,128,Tea
Mon,129,Coffee
Mon,129,Cake
Mon,130,Coffee
Mon,130,Muffin
Mon,131,Bread
Mon,131,Coffee
Mon,132,Tea
Mon,132,Juice
Mon,132,Pick and Mix Bowls
Mon,132,Cookies
Mon,133,Hearty & Seasonal
Mon,133,Soup
Mon,134,Hearty & Seasonal
Mon,134,Tea
Mon,134,Farm House
Mon,135,Bread
Mon,136,Tea
Mon,136,Soup
Mon,137,Farm House
Mon,138,Soup
Mon,138,Hearty & Seasonal
Mon,138,Coffee
Mon,139,Bread
Mon,139,Muffin
Mon,139,Hearty & Seasonal
Mon,140,Coffee
Mon,140,Cookies
Mon,141,Bread
Mon,142,Tea
Mon,142,Muffin
Mon,143,Tea
Mon,144,Soup
Mon,144,Hearty & Seasonal
Mon,145,Coffee
Mon,145,Tea
Mon,145,Focaccia
Mon,146,Sandwich
Mon,147,Tartine
Mon,147,Coffee
Mon,148,Fudge
Mon,148,Coffee
Mon,149,Coffee
Mon,150,Bread
Mon,151,Coke
Mon,151,Soup
Mon,152,Muffin
Mon,153,Tea
Mon,153,Coffee
Mon,153,Cookies
Mon,153,Muffin
Mon,154,Mighty Protein
Mon,154,Hearty & Seasonal
Mon,154,Coffee
Mon,154,Coke
Mon,155,Tea
Mon,155,Muffin
Mon,155,Sandwich
Mon,156,Coffee
Mon,156,Muffin
Mon,157,Coffee
Mon,157,Bread
Mon,158,Coffee
Mon,158,Muffin
Mon,159,Bread
Mon,159,Hot chocolate
Mon,159,Cookies
Mon,160,Mineral water
Mon,160,Muffin
Mon,161,Tea
Mon,162,Muffin
Mon,163,Coffee
Mon,163,Juice
Mon,164,Coffee
Mon,164,Muffin
Mon,165,Tea
Mon,166,Coffee
Mon,166,Muffin
Mon,167,Sandwich
Mon,167,Hearty & Seasonal
Mon,167,Bread
Mon,167,Mineral water
Mon,168,Tea
Mon,168,Coffee
Mon,169,Mineral water
Mon,170,Coffee
Mon,171,Soup
Mon,171,Tea
Mon,172,Bread
Mon,172,Coffee
Mon,173,Bread
Mon,173,Muffin
Mon,174,Coffee
Mon,175,Bread
Mon,176,Cookies
Mon,176,Coffee
Tue,178,Coffee
Tue,178,Pastry
Tue,179,Coffee
Tue,179,Pastry
Tue,180,Jam
Tue,180,Tea
Tue,181,Tea
Tue,182,Pastry
Tue,182,Ella's Kitchen Pouches
Tue,183,Pastry
Tue,184,Farm House
Tue,184,NONE
Tue,184,Tea
Tue,185,Tea
Tue,185,Victorian Sponge
Tue,186,Tea
Tue,186,Pastry
Tue,187,Bread
Tue,188,Coffee
Tue,189,Bread
Tue,189,Coffee
Tue,190,Coffee
Tue,190,Pastry
Tue,191,Soup
Tue,191,Tea
Tue,192,NONE
Tue,192,Bread
Tue,193,Coffee
Tue,194,Bread
Tue,195,Bread
Tue,195,NONE
Tue,195,Scandinavian
Tue,196,Bread
Tue,196,Cake
Tue,196,Cookies
Tue,197,Coffee
Tue,197,Tea
Tue,198,Coffee
Tue,198,Cookies
Tue,199,Coffee
Tue,200,Bread
Tue,201,NONE
Tue,201,Coffee
Tue,201,Pastry
Tue,202,Coffee
Tue,203,Coffee
Tue,204,Scandinavian
Tue,204,Bread
Tue,205,Coffee
Tue,205,Pastry
Tue,206,Scandinavian
Tue,206,Coffee
Tue,206,Pastry
Tue,207,Hearty & Seasonal
Tue,207,Coffee
Tue,207,Muffin
Tue,208,Bread
Tue,209,Coffee
Tue,210,Scandinavian
Tue,211,Soup
Tue,211,Coffee
Tue,212,Coffee
Tue,212,Cookies
Tue,212,Tartine
Tue,213,Bread
Tue,214,Bread
Tue,214,Tea
Tue,215,Pastry
Tue,215,Coffee
Tue,216,Tartine
Tue,216,Coffee
Tue,217,Bread
Tue,217,Cookies
Tue,218,Sandwich
Tue,219,Tartine
Tue,220,Bread
Tue,220,Pastry
Tue,221,Bread
Tue,221,Scandinavian
Tue,222,Scandinavian
Tue,223,Alfajores
Tue,223,Coffee
Tue,224,Coffee
Tue,225,Coffee
Tue,225,Coke
Tue,225,Soup
Tue,226,Cake
Tue,227,Tea
Tue,227,Sandwich
Tue,227,Soup
Tue,228,Coffee
Tue,229,Hearty & Seasonal
Tue,229,Bread
Tue,230,Alfajores
Tue,231,Cake
Tue,232,Tea
Tue,232,Bread
Tue,233,Coffee
Tue,233,Tea
Tue,233,Bread
Tue,233,Soup
Tue,234,Coffee
Tue,235,Scandinavian
Tue,236,Fudge
Tue,237,Coffee
Tue,237,Sandwich
Tue,238,Tea
Tue,238,Bread
Tue,238,Cookies
Tue,238,Pastry
Tue,239,Muffin
Tue,240,Scandinavian
Tue,241,Jam
Tue,241,Tea
Tue,242,Juice
Tue,242,Tea
Tue,242,Alfajores
Tue,243,Cake
Tue,243,Muffin
Tue,243,Coffee
Tue,243,Soup
Tue,244,Hot chocolate
Tue,244,Cake
Tue,244,Coffee
Tue,245,Cake
Tue,245,Cookies
Tue,246,Tea
Tue,246,Bread
Tue,247,Alfajores
Tue,247,Coffee
Tue,247,Juice
Tue,248,Coffee
Tue,248,Tea
Tue,248,Soup
Tue,249,Hot chocolate
Tue,250,Cookies
Tue,251,Coffee
Tue,251,Medialuna
Tue,252,Bread
Tue,252,Eggs
Tue,253,Scandinavian
Tue,254,Medialuna
Wed,255,Coffee
Wed,255,Pastry
Wed,256,Coffee
Wed,256,Bread
Wed,257,Bread
Wed,257,Coffee
Wed,257,Pastry
Wed,257,NONE
Wed,258,Coffee
Wed,258,Pastry
Wed,259,Pastry
