tweet_id,term
1,derai
1,far
1,ll
1,go
1,moana
1,feat
1,auli
1,cravalho
1,lin_manuel
1,oscar
2,cosmo
2,ser
2,la
2,foto
2,de
2,la
2,cada
2,oscar
2,oscar
3,muh_sadam
3,oscar
3,ryan
3,gosl
3,justin
3,timberlak
3,ultim
3,high
3,school
3,sweethea
3,time
3,time
3,mickei
3,mous
3,ho
4,essenc
4,class
4,excel
4,unmatch
4,denzelwashington
4,paulettawashington
4,oscar
5,rayliotta
5,just
5,heard
5,happen
5,last
5,night
5,oscar
6,varieti
6,mahershala
6,ali
6,becom
6,first
6,muslim
6,actor
6,win
6,oscar
6,oscar
7,kristabonifac
7,samuel
7,jackson
7,moonlight
7,oscar
7,best
7,pictur
7,win
8,rairadio
8,decimati
8,dalla
8,influenza
8,se
8,retwitti
8,cinziapoli
8,guarisc
8,dalla
8,febbr
8,febbraio
8,montalbano
8,oscar
9,rightwingangel
9,forgotten
9,men
9,women
9,countri
9,will
9,forgotten
9,longer
9,realdonaldtrump
9,oscar
9,winnerisdjt
10,jmktv
10,viola
10,davi
10,win
10,life
10,real
10,love
10,breathtak
10,oscar
11,theroot
11,johnlegend
11,chrissyteigen
11,relationship
11,goal
11,oscar
12,jimmykimmel
12,jimmi
12,reveal
12,realli
12,happen
12,behind
12,scene
12,oscar
12,plu
12,oscar
12,winner
12,mahershala
12,ali
12,tonight
12,moonli
13,_snape_
13,muggl
13,embarrass
13,oscar
14,spo
14,world
14,react
14,la
14,la
14,land
14,moonlight
14,best
14,pictur
14,mix
14,oscar
14,oscar
15,ew
15,reaction
15,oscar
16,take
16,oscar
16,ad
17,varieti
17,fay
17,dunawai
17,realli
17,ed
17,oscar
18,riyasharma
18,russian
18,hack
18,oscar
18,envelopeg
18,lalaland
18,oscarsfail
19,diva_ofici
19,voc
19,preferem
19,viola
19,davi
19,de
19,cabelo
19,grand
19,ou
19,cuo
19,tapetevermelho
19,oscar
20,enew
20,eva
20,mend
20,wasn
20,ryan
20,gosl
20,side
20,oscar
20,mister
20,sister
21,oscar
22,rayliotta
22,just
22,heard
22,happen
22,last
22,night
22,oscar
23,dcexamin
23,even
23,stunt
23,give
23,oscar
23,white
23,la
23,la
23,land
23,grab
23,back
23,honor
23,black
23,movi
23,work
23,let
23,sink
24,leahr
24,marin
24,le
24,pen
24,spectacular
24,verbal
24,annihil
24,merkel
24,face
24,frexit
24,trump
24,oscar
25,nawazuddin_s
25,theacademi
25,oscar
25,paid
25,homag
25,late
25,ompuri
25,bollywood
25,award
25,function
25,nobodi
25,convers
25,singl
25,word
25,con
26,otariano
26,galera
26,reclamando
26,que
26,suicid
26,squad
26,ganhou
26,film
26,foi
26,uma
26,bosta
26,ma
26,maquiagem
26,tava
26,foda
26,sim
26,oscar
27,iamsteveharvei
27,good
27,morn
27,everybodi
27,went
27,sleep
27,earli
27,last
27,night
27,miss
27,oscar
28,chaseyurdream
28,chaseyurdream
28,like
28,jacob
28,noah
28,visual
28,aist
28,autism
28,nomin
28,oscar
28,doctor
28,strang
28,asd
28,http
29,cinemacanalplu
29,leonardodicaprio
29,remet
29,oscar
29,de
29,la
29,meilleur
29,actric
29,emmaston
29,pour
29,lalaland
29,http
30,softsoiac
30,real
30,life
30,disnei
30,princess
30,right
30,oscar
31,jarettsai
31,watch
31,oscar
31,produc
31,slowli
31,tell
31,lalaland
31,team
31,didn
31,win
31,best
31,pictur
31,wild
31,keep
31,ey
32,rayliotta
32,just
32,heard
32,happen
32,last
32,night
32,oscar
33,gossipgun
33,pricewaterhousecoop
33,oscar
33,warren
33,beat
34,vanityfair
34,explain
34,blue
34,ribbon
34,saw
34,oscar
34,red
34,carpet
35,pictolin
35,el
35,de
35,ayer
35,fue
35,el
35,fail
35,grand
35,en
35,la
35,historia
35,de
35,lo
35,oscar
35,esto
35,fue
35,lo
35,que
35,en
35,realidad
35,pa
36,rairadio
36,decimati
36,dalla
36,influenza
36,se
36,retwitti
36,cinziapoli
36,guarisc
36,dalla
36,febbr
36,febbraio
36,montalbano
36,oscar
37,oneperfectshot
37,moonlight
37,dp
37,jame
37,laxton
37,director
37,barri
37,jenkin
37,oscar
38,flordebelieb
38,para
38,cuando
38,el
38,premio
38,para
38,justin
38,por
38,never
38,sai
38,never
38,believ
38,movi
38,oscar
39,oneperfectshot
39,moonlight
39,dp
39,jame
39,laxton
39,director
39,barri
39,jenkin
39,oscar
40,gma
40,watch
40,moment
40,crew
40,cast
40,la
40,la
40,land
40,realiz
40,mistak
40,made
40,moonlight
40,actual
40,won
40,best
40,pictur
40,oscar
41,trendinaliami
41,yrsofkakkisattai
41,oscar
41,warren
41,beatti
41,mahershala
41,ali
41,kltu
41,myt
41,trndnl
42,fotograma_es
42,casei
42,affleck
42,gana
42,el
42,oscar
42,al
42,mejor
42,actor
42,por
42,manchest
42,frent
42,al
42,mar
42,oscar
43,realjack
43,everyth
43,get
43,presid
43,trump
43,respond
43,oscar
43,attack
43,busi
43,presid
44,diceprophet
44,best
44,on
44,oscar
44,lalaland
44,moonlight
44,epicfail
44,lol
44,harrypott
45,ajanaomi_king
45,oh
45,god
45,oscar
45,never
45,dull
45,moment
45,congratul
45,moonlightmov
45,bestpictur
46,andytelasai
46,presid
46,pop
46,justin
46,timberlak
46,turn
46,oscar
46,open
46,number
46,gigant
46,danc
46,pai
47,luvvi
47,oscar
47,intersect
47,hell
47,yeah
47,wtf
47,awesom
47,luvvi
47,get
48,gma
48,watch
48,moment
48,crew
48,cast
48,la
48,la
48,land
48,realiz
48,mistak
48,made
48,moonlight
48,actual
48,won
48,best
48,pictur
48,oscar
49,matthewacherri
49,viola
49,davi
49,win
49,best
49,suppo
49,actress
49,fenc
49,academi
49,award
49,oscar
50,won
50,best
50,pictur
50,ask
50,friend
50,oscar
51,cernovich
51,gift
51,bag
51,oscar
51,famili
51,earn
51,year
51,lectur
51,us
51,hollywood
52,bullyrai
52,dusti
52,finish
52,oscar
53,look
53,favorit
53,last
53,night
53,oscar
54,viola
54,slai
54,everi
54,time
54,oscar
55,djchiamaitalia
55,hei
